base,ilvl,rarity,sockets,mods,addedMods,removedMods
Precursor Tablet,80,Rare,0,"[{'name':'Challenger\'s','tier':1,'roll':[9],'ref':['#% increased Effectiveness of Monsters in your Maps'],'type':'explicit'}]","[{'name':'Challenger\'s','tier':1,'roll':[9],'ref':['#% increased Effectiveness of Monsters in your Maps'],'type':'explicit'}]","[]"
Precursor Tablet,80,Rare,0,"[{'name':'Bountiful','tier':1,'roll':[40],'ref':['#% increased Gold found in your Maps'],'type':'explicit'}]","[{'name':'Bountiful','tier':1,'roll':[40],'ref':['#% increased Gold found in your Maps'],'type':'explicit'}]","[{'name':'Challenger\'s','tier':1,'roll':[9],'ref':['#% increased Effectiveness of Monsters in your Maps'],'type':'explicit'}]"
Precursor Tablet,80,Rare,0,"[{'name':'Challenger\'s','tier':1,'roll':[8],'ref':['#% increased Effectiveness of Monsters in your Maps'],'type':'explicit'}]","[{'name':'Challenger\'s','tier':1,'roll':[8],'ref':['#% increased Effectiveness of Monsters in your Maps'],'type':'explicit'}]","[{'name':'Bountiful','tier':1,'roll':[40],'ref':['#% increased Gold found in your Maps'],'type':'explicit'}]"
Precursor Tablet,80,Rare,0,"[{'name':'of the Cartographer','tier':1,'roll':[46],'ref':['#% increased Quantity of Waystones found in your Maps'],'type':'explicit'}]","[{'name':'of the Cartographer','tier':1,'roll':[46],'ref':['#% increased Quantity of Waystones found in your Maps'],'type':'explicit'}]","[{'name':'Challenger\'s','tier':1,'roll':[8],'ref':['#% increased Effectiveness of Monsters in your Maps'],'type':'explicit'}]"
Precursor Tablet,80,Rare,0,"[{'name':'of Strongboxes','tier':1,'roll':[84],'ref':['Your Maps have #% increased chance to contain Strongboxes'],'type':'explicit'}]","[{'name':'of Strongboxes','tier':1,'roll':[84],'ref':['Your Maps have #% increased chance to contain Strongboxes'],'type':'explicit'}]","[{'name':'of the Cartographer','tier':1,'roll':[46],'ref':['#% increased Quantity of Waystones found in your Maps'],'type':'explicit'}]"
Precursor Tablet,80,Rare,0,"[{'name':'of the Devoted','tier':1,'roll':[1],'ref':['Your Maps contain an additional Shrine'],'type':'explicit'}]","[{'name':'of the Devoted','tier':1,'roll':[1],'ref':['Your Maps contain an additional Shrine'],'type':'explicit'}]","[{'name':'of Strongboxes','tier':1,'roll':[84],'ref':['Your Maps have #% increased chance to contain Strongboxes'],'type':'explicit'}]"
Precursor Tablet,80,Rare,0,"[{'name':'Challenger\'s','tier':1,'roll':[8],'ref':['#% increased Effectiveness of Monsters in your Maps'],'type':'explicit'}]","[{'name':'Challenger\'s','tier':1,'roll':[8],'ref':['#% increased Effectiveness of Monsters in your Maps'],'type':'explicit'}]","[{'name':'of the Devoted','tier':1,'roll':[1],'ref':['Your Maps contain an additional Shrine'],'type':'explicit'}]"
Precursor Tablet,80,Rare,0,"[{'name':'Bountiful','tier':1,'roll':[32],'ref':['#% increased Gold found in your Maps'],'type':'explicit'}]","[{'name':'Bountiful','tier':1,'roll':[32],'ref':['#% increased Gold found in your Maps'],'type':'explicit'}]","[{'name':'Challenger\'s','tier':1,'roll':[8],'ref':['#% increased Effectiveness of Monsters in your Maps'],'type':'explicit'}]"
Precursor Tablet,80,Rare,0,"[{'name':'Collector\'s','tier':1,'roll':[22],'ref':['#% increased Rarity of Items found in your Maps'],'type':'explicit'}]","[{'name':'Collector\'s','tier':1,'roll':[22],'ref':['#% increased Rarity of Items found in your Maps'],'type':'explicit'}]","[{'name':'Bountiful','tier':1,'roll':[32],'ref':['#% increased Gold found in your Maps'],'type':'explicit'}]"
Precursor Tablet,80,Rare,0,"[{'name':'of the Essence','tier':1,'roll':[89],'ref':['Your Maps have #% increased chance to contain Essences'],'type':'explicit'}]","[{'name':'of the Essence','tier':1,'roll':[89],'ref':['Your Maps have #% increased chance to contain Essences'],'type':'explicit'}]","[{'name':'Collector\'s','tier':1,'roll':[22],'ref':['#% increased Rarity of Items found in your Maps'],'type':'explicit'}]"
